,name,code,emotion
0,Take Me Back,A1,Angry
1,Falling,A2,Angry
2,Forever Finally Ends,A3,Angry
3,Desperate,A4,Angry
4,World On Fire,A5,Angry
5,2AM,A6,Angry
6,What I Say,A7,Angry
7,Falling For You,H1,Happy
8,ONI,H2,Happy
9,Dreamer,H3,Happy
10,Down For Anything,H4,Happy
11,Paper Walls,H5,Happy
12,Walk Away,H6,Happy
13,Voyage,H7,Happy
14,Ego,N1,Neutral
15,Need Ya,N2,Neutral
16,Dioma,N3,Neutral
17,Escape,N4,Neutral
18,With You,N5,Neutral
19,Take Our Time,N6,Neutral
20,I'll be Here,N7,Neutral
21,Dreamer,S1,Sad
22,Dont Want to Feel,S2,Sad
23,Numbers,S3,Sad
24,Feel,S4,Sad
25,Sharks,S5,Sad
26,Vision,S6,Sad
27,Unstoppable,S7,Sad
28,Mess,SP1,Surprise
29,Waiting,SP2,Surprise
30,Psycho,SP3,Surprise
31,Consume Me,SP4,Surprise
32,What I say,SP5,Surprise
33,Dreamer,SP6,Surprise
34,Feel Something,SP7,Surprise
35,Dracula,F1,Fear
36,Dangerous,F2,Fear
37,LOOK AT ME!,F3,Fear
38,Desperate,F4,Fear
39,Blade Fury,F5,Fear
40,Bonfire,F6,Fear
41,Curse,F7,Fear
42,Grey,D1,Disgust
43,Spend It All,D2,Disgust
44,Dreamer,D3,Disgust
45,Your Highness,D4,Disgust
46,A&B,D5,Disgust
47,All Night,D6,Disgust
48,Set You Free,D7,Disgust
